iter	Passed	Remaining
0	15	15271
1	26	13169
2	35	11746
3	44	11100
4	56	11234
5	64	10707
6	72	10282
7	78	9772
8	85	9411
9	91	9056
10	98	8836
11	104	8640
12	110	8380
13	116	8197
14	123	8089
15	129	7947
16	136	7879
17	142	7796
18	148	7673
19	155	7633
20	162	7570
21	169	7523
22	175	7453
23	182	7403
24	188	7370
25	195	7334
26	203	7326
27	210	7306
28	216	7259
29	222	7207
30	231	7242
31	238	7226
32	245	7204
33	252	7171
34	258	7125
35	264	7074
36	271	7054
37	278	7042
38	283	6992
39	289	6958
40	296	6928
41	302	6893
42	309	6891
43	316	6878
44	323	6867
45	330	6857
46	336	6829
47	343	6817
48	351	6814
49	357	6789
50	364	6781
51	372	6783
52	379	6783
53	388	6805
54	396	6808
55	402	6792
56	410	6799
57	419	6821
58	427	6825
59	434	6808
60	441	6799
61	447	6776
62	454	6755
63	457	6693
64	463	6669
65	471	6674
66	478	6662
67	486	6665
68	492	6648
69	500	6643
70	506	6623
71	513	6615
72	520	6609
73	528	6613
74	536	6611
75	542	6593
76	548	6579
77	556	6572
78	562	6553
79	567	6531
80	573	6511
81	580	6496
82	586	6484
83	594	6479
84	600	6462
85	606	6444
86	612	6430
87	620	6427
88	627	6418
89	634	6410
90	640	6395
91	647	6389
92	655	6388
93	662	6383
94	668	6369
95	675	6359
96	683	6360
97	688	6340
98	696	6336
99	703	6332
100	710	6325
101	717	6320
102	725	6315
103	731	6305
104	738	6292
105	744	6281
106	750	6263
107	756	6249
108	763	6238
109	769	6229
110	777	6226
111	783	6213
112	790	6205
113	796	6192
114	803	6186
115	810	6175
116	816	6162
117	823	6152
118	829	6137
119	836	6130
120	841	6115
121	847	6101
122	853	6088
123	860	6079
124	866	6066
125	873	6056
126	880	6050
127	887	6044
128	894	6036
129	900	6025
130	907	6016
131	913	6006
132	922	6011
133	929	6008
134	936	6003
135	943	5997
136	950	5988
137	957	5979
138	964	5972
139	970	5963
140	977	5953
141	985	5956
142	993	5952
143	1000	5945
144	1008	5945
145	1015	5938
146	1021	5929
147	1031	5935
148	1037	5925
149	1044	5920
150	1052	5915
151	1059	5912
152	1066	5902
153	1073	5897
154	1080	5891
155	1088	5887
156	1096	5888
157	1102	5877
158	1109	5870
159	1116	5862
160	1124	5857
161	1132	5856
162	1139	5852
163	1148	5852
164	1155	5849
165	1163	5846
166	1171	5842
167	1177	5832
168	1185	5827
169	1192	5821
170	1204	5841
171	1218	5866
172	1226	5864
173	1234	5858
